audio_path,stem,transcript,speaker_id,duration_sec,sample_rate,rms_mean,word_count,char_count,words_per_sec
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0467.wav,nchlt_nso_135m_0467,o ba a na le,nchlt_nso,1.8,16000,0.03108776919543743,5,12,2.7777777777777777
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0301.wav,nchlt_nso_135m_0301,e be e le mohlolo,nchlt_nso,2.04,16000,0.024303335696458817,5,17,2.450980392156863
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0315.wav,nchlt_nso_135m_0315,ke bajalefa ba le noši,nchlt_nso,2.4,16000,0.045856744050979614,5,22,2.0833333333333335
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0473.wav,nchlt_nso_135m_0473,e ka no ganetšwa ka,nchlt_nso,1.32,16000,0.04061347246170044,5,19,3.7878787878787876
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0498.wav,nchlt_nso_135m_0498,go re a ka no,nchlt_nso,1.8,16000,0.02721802331507206,5,13,2.7777777777777777
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0077.wav,nchlt_nso_135m_0077,mosima o be a le [s],nchlt_nso,2.28,16000,0.059599995613098145,6,20,2.6315789473684212
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0088.wav,nchlt_nso_135m_0088,go ya ka melao ya,nchlt_nso,2.16,16000,0.06896013021469116,5,17,2.314814814814815
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0249.wav,nchlt_nso_135m_0249,ke le le teletšana le,nchlt_nso,2.16,16000,0.028444884344935417,5,21,2.314814814814815
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0513.wav,nchlt_nso_135m_0513,go ba le boikarabelo le,nchlt_nso,2.4,16000,0.03425651788711548,5,23,2.0833333333333335
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0275.wav,nchlt_nso_135m_0275,le le ka phapošing ke,nchlt_nso,2.88,16000,0.03267378732562065,5,21,1.7361111111111112
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0507.wav,nchlt_nso_135m_0507,e ba ga o na,nchlt_nso,1.68,16000,0.028150789439678192,5,12,2.9761904761904763
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0260.wav,nchlt_nso_135m_0260,ba selekwa ke go tsenatsena,nchlt_nso,3.0,16000,0.02955421805381775,5,27,1.6666666666666667
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0506.wav,nchlt_nso_135m_0506,go ya ka mo di,nchlt_nso,1.8,16000,0.020366623997688293,5,14,2.7777777777777777
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0274.wav,nchlt_nso_135m_0274,e ka ba se se,nchlt_nso,2.04,16000,0.05614878237247467,5,13,2.450980392156863
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0062.wav,nchlt_nso_135m_0062,la ka moswane kgoodi e,nchlt_nso,3.84,16000,0.029660794883966446,5,22,1.3020833333333335
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0076.wav,nchlt_nso_135m_0076,morako ge ba re ba,nchlt_nso,2.4,16000,0.07544708997011185,5,18,2.0833333333333335
/Users/khensanichabalala/DSFSI/MultilingualASR/MultilingualASR/experiments/sepedi-asr-eda/dataset/nchlt_nso/audio/135/nchlt_nso_135m_0116.wav,nchlt_nso_135m_0116,e gabaletše e se na,nchlt_nso,2.52,16000,0.0448690690100193,5,19,1.9841269841269842
